#contig,AI05,AI15,AI20,AI28,AI40,AII05,AII15,AII20,AII28,AII40,AIII05,AIII15,AIII20,AIII28,AIII40
NODE_726_length_11622_cov_8_84853,0.0,0.0,31.827912254,91.6950889401,74.4784431739,0.0,0.0,22.5407250915,161.464060627,77.8171307816,0.0,0.0,22.8798103698,13.6453912595,69.2654976641
NODE_79_length_40638_cov_15_6324,0.0,0.0,56.6051793739,0.0,0.0,0.0,0.0,11.7066346443,0.0,0.0,0.0,0.0,14.2355090243,0.0,0.0
NODE_182_length_23123_cov_9_25074,0.0,0.0,0.0,45.7960496616,18.7329147131,0.0,0.0,0.0,50.8260782149,17.3157834405,0.0,0.0,0.0,0.0,13.6610590856
NODE_22_length_48325_cov_8_33095,0.0,0.0,0.0,40.9555376659,0.0,0.0,0.0,0.0,76.77265074,0.0,0.0,0.0,0.0,0.0,0.0
NODE_37_length_19004_cov_14_3757,286.878932094,0.0,0.0,0.0,0.0,40.0941593842,0.0,0.0,0.0,0.0,31.2441185987,0.0,0.0,0.0,0.0
NODE_49_length_16287_cov_22_5285,431.914483153,0.0,0.0,0.0,0.0,52.7951279945,0.0,0.0,0.0,0.0,39.9142293435,0.0,0.0,0.0,0.0
NODE_201_length_19586_cov_717_926,0.0,41280.5346158,101.034244633,45.5900704277,67.8690478618,0.0,4339.96033311,117.93889064,75.3686154302,74.2847109597,0.0,4719.34906939,146.805985829,8.1872347557,53.5094518816
NODE_538_length_10130_cov_5_3996,0.0,0.0,27.2774958909,0.0,0.0,0.0,0.0,29.3029426189,19.9373013992,0.0,0.0,0.0,31.1562691048,0.0,0.0
NODE_23_length_49326_cov_15_523,0.0,0.0,0.0,62.8579961997,6.42055544603,0.0,0.0,0.0,125.801563758,6.64926084115,0.0,0.0,0.0,8.34098564313,0.0
NODE_250_length_19578_cov_31_6758,0.0,0.0,0.0,114.009505942,23.0384636593,0.0,0.0,0.0,255.759072034,26.8394643328,0.0,0.0,0.0,9.68630590815,18.2001969287
NODE_90_length_35868_cov_5_84492,0.0,0.0,0.0,24.133900234,0.0,0.0,0.0,0.0,47.119424997,0.0,0.0,0.0,0.0,0.0,0.0
NODE_240_length_20063_cov_6_43947,0.0,0.0,5.70052159773,30.5535863559,25.0023982663,0.0,0.0,0.0,52.1177906999,28.9519899125,0.0,0.0,0.0,0.0,18.8548802715
NODE_178_length_23575_cov_16_8478,0.0,0.0,0.0,5.25247046344,93.7023415388,0.0,0.0,0.0,8.92966457035,83.7044971514,0.0,0.0,0.0,0.0,84.8469612218
NODE_11_length_56082_cov_8_52261,0.0,0.0,0.0,427.750208983,34.4443915693,0.0,0.0,0.0,839.388469613,42.8046166649,0.0,0.0,0.0,62.6150489062,31.4684460087
NODE_184_length_29990_cov_76_6052,40.6654702969,0.0,0.0,0.0,0.0,600.228402164,0.0,0.0,0.0,0.0,455.127947573,18.6447203835,0.0,0.0,0.0
NODE_136_length_26383_cov_24_7811,0.0,0.0,0.0,40.7152285597,0.0,0.0,0.0,0.0,72.616706223,5.50641913408,0.0,0.0,0.0,23.1010708365,0.0
NODE_67_length_39205_cov_11_4463,0.0,0.0,0.0,40.749558432,0.0,0.0,0.0,0.0,47.5687162961,0.0,0.0,0.0,0.0,10.2244340142,0.0
NODE_134_length_26600_cov_8_99748,0.0,0.0,0.0,69.3463420663,0.0,0.0,0.0,0.0,151.242683572,0.0,0.0,0.0,0.0,8.53317425242,0.0
NODE_92_length_25077_cov_36_4605,0.0,0.0,172.215757742,823.367657484,293.306079964,0.0,0.0,63.6593703794,1548.81943095,323.874413471,0.0,0.0,65.2552790932,107.39499487,225.647525472
NODE_364_length_17766_cov_5_5767,318.939422328,0.0,0.0,0.0,0.0,50.965327432,0.0,0.0,0.0,0.0,42.1874900875,0.0,0.0,0.0,0.0
NODE_61_length_13489_cov_6_98578,0.0,171.971226525,0.0,0.0,0.0,0.0,259.438140731,0.0,0.0,0.0,0.0,207.965254414,0.0,0.0,0.0
NODE_86_length_10292_cov_12_2104,0.0,143.732096899,73.7317464548,5.25247046344,0.0,0.0,22.9349207946,84.9276351835,9.09814880752,0.0,0.0,21.0710881046,63.6735558683,0.0,0.0
NODE_45_length_15988_cov_13_9411,0.0,183.977084031,0.0,0.0,0.0,0.0,583.767378463,4.87170510042,0.0,0.0,0.0,527.671127565,8.35002725714,0.0,0.0
NODE_28_length_20516_cov_13_8826,11206.3210518,330.922016037,42.8539211338,11.0198890115,7.70466653523,1971.34101778,44.4390391909,28.5758224547,19.3195258629,8.06915508327,1618.66738283,66.6612605491,35.8646545185,0.0,6.06673230958
NODE_4_length_38092_cov_349_776,0.0,7727.20662588,690.763204833,236.017872132,258.710616502,0.0,1078.69876097,676.33082077,440.754764453,295.234107661,0.0,947.560446886,773.683362552,39.0527254074,202.384444025
